駅名,kmpost,xpos,ypos
新宿,-5200,1000,1000
笹塚,-1600,4600,1000
明大前,0,6200,1000
下高井戸,900,7100,1000
桜上水,1800,8000,1000
上北沢,2600,8800,1000
八幡山,3200,9400,1000
芦花公園,3900,10100,1000
千歳烏山,4700,10900,1000
仙川,6300,12500,1000
つつじヶ丘,7300,13500,1000
柴崎,8100,14300,1000
国領,9000,15200,1000
布田,9700,15900,1000
調布,10300,16500,1000
